article_id,article_url,article_title,article_tags,image_id,image_url
39,https://www.aol.com/lottery-fever-why-giant-jackpots-203538840.html,Lottery fever: Why do giant jackpots like Powerball whip people into a frenzy?,williams;eric storch;stephen goldbart;kevork djansezian getty|menninger department;powerball product group;baylor college of medicine;university of lethbridge;choices institute,04EB592F97DD6EBB1D52BC0CD3A04D73,https://s.yimg.com/ny/api/res/1.2/wmTuXT50T7BEzSsk.XHz2w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04ODM-/https://media.zenfs.com/en/aol_yahoo_life_wellness_234/c131cf8b0c3fd13541cc88898d3c1161
40,https://power96radio.com/ixp/717/p/mn-woman-barbie-outfit-designer/,Minnesota Woman Who Designed Barbie's Outfits for 35 Years,spencer barbie;thierry chesnot;carol spencer;jackie kennedy|minneapolis school of fine arts;mattel,9C6FDBB108B2BF41DFE8ED20E7454DE6,https://townsquare.media/site/717/files/2023/07/attachment-Untitled-design-2023-07-19T125008.332.jpg?&zc=1&s=0&a=t&q=89
41,https://www.northcountrypublicradio.org/news/npr/1188328688/your-air-conditioner-isn-t-built-for-this-heat-5-tips-can-boost-performance,Your air conditioner isn't built for this heat. 5 tips can boost performance,garimella;james barry;brandon bell getty;reinhard radermacher;scott neumanjul|league city;university of maryland,5786AB0AC0139B7116AE5D64BC8426D4,https://media.npr.org/assets/img/2023/07/18/gettyimages-1531808883-f188ffde97e244550820183c2832010d86ebf069.jpg?s=6
42,https://www.ksat.com/news/politics/2023/07/19/military-veteran-who-stormed-capitol-with-loaded-pistol-is-sentenced-to-7-years-in-prison/,Military veteran who stormed Capitol with loaded pistol is sentenced to 7 years in prison,cooper;shalin nohria;joe biden;christopher michael alberts;stephen sherman|virginia national guard;associated press;capitol police,0638D6DCC0FB95B0542B34558B3B4365,"https://res.cloudinary.com/graham-media-group/image/upload/f_auto/q_auto/c_thumb,w_700/v1/media/gmg/7ZNHNIPRAVEUNEQY4P33OONYUU.jpg?_a=ATAPphC0"
43,https://www.healthcanal.com/uk/nutrition/diet/are-chocolate-chips-vegan,Are Chocolate Chips Vegan? Their Vegan Status In [UK] 2023,rebezov;kannan r r rengasamy;mohammad ali shariati;gerardo tamez gonz;henryk ka;jurislav babi;claudia gonzalez viejo;antun jozinovi;muthu thiruvengadam;wojciech ka;mirela kopjar|health canal;research vegan brands;vegan society,6EDAB96E665C76F006A6F466BAD76A05,https://www.healthcanal.com/wp-content/uploads/2023/07/are-chocolate-chips-vegan-1.jpg
44,https://www.justjared.com/2023/07/19/bella-hadid-marc-kalman-split-after-2-years-of-dating-report/,"Bella Hadid & Marc Kalman Split After 2 Years of Dating (Report) | Bella Hadid, Marc Kalman, Split | Just Jared: Celebrity News and Gossip",marc kalman;bella hadid|instagram,719938B278B3227E9FFB57ACE6A644B2,https://cdn.justjared.com/wp-content/uploads/headlines/2023/07/bella-hadid-marc-kalman-split.jpg
45,https://www.bournemouthecho.co.uk/news/national/23667497.varadkar-pledges-unwavering-solidarity-ukraine-day-long-visit-kyiv/,Varadkar pledges unwavering solidarity with Ukraine on day-long visit to Kyiv,friel;volodymyr zelensky;ruslan stefanchuk;clodagh kilcoyne;verkhovna rada;oleksandra sasha kuvshynova;andrei kostin;kyiv leo varadkar;denys shmyhal;oleksandr hrekov clodagh kilcoyne;michael square;kyiv clodagh kilcoyne;leo varadkar;oleksandr hrekov;pierre zakrzewski|lesya ukrainka national academic drama theatre,1E2298503423BB06C9B9A0B9E9543AD9,https://www.bournemouthecho.co.uk/resources/images/17020994/?type=og-image
46,https://kashmirreader.com/2023/07/20/flood-like-situation-in-jammu-many-rivers-breach-danger-mark/,"Flood-like situation in Jammu, many rivers breach danger mark",singh;mata vaishno devi;vaishno devi|indian meteorological department;union territory;centre jammu,6254CE51A425185A08E09DCF816CED6C,https://i0.wp.com/kashmirreader.com/wp-content/uploads/2023/07/Flood-like-situation-in-Jammu.jpg?fit=1190%2C803&ssl=1
47,https://shark1053.com/ixp/341/p/2023-summer-heat-records/,Why Is It So Hot This Summer? When Will It Cool Off?,centers;atmospheric administration;climate extremes committee;national oceanic,7947B7DFC2963EAC496497457ED94D26,https://townsquare.media/site/341/files/2023/07/attachment-Courier-Prime-71.jpg?&zc=1&s=0&a=t&q=89
48,https://www.wwaytv3.com/cucalorus-film-festival-named-in-moviemakers-coolest-film-festivals-in-the-world/,Cucalorus Film Festival named in MovieMaker's coolest film festivals in the world,molloy;dan brawley;hannah patrick;cucalorus cucalorus;xolo mariduena|anchorage international film festival,6D64C7A3B2FE4F7D8A7F878CCCF153EF,https://wpcdn.us-east-1.vip.tn-cloud.net/www.wwaytv3.com/content/uploads/2022/11/z/m/cucalorus.jpg
49,https://newstalk1290.com/ixp/62/p/hallmark-christmas-cruise/,Texans Who Love Christmas Can Set Sail on Hallmark's Cruise,nordli mathisen;peter hansen|hallmark channel,CEF6AFC602F21CD3EB8050140F6AE75F,https://townsquare.media/site/62/files/2023/07/attachment-Untitled-design-2023-07-18T215032.107.jpg?&zc=1&s=0&a=t&q=89
50,https://weisradio.com/2023/07/19/european-heat-wave-breaking-records-with-little-relief-in-sight/,"European heat wave breaking records with little relief in sight - WEIS | Local & Area News, Sports, & Weather",waugh;andrea ronchini nurphoto;jim jones;kai kornhuber;antonio sano;john nairn|european space agency;italian ministry of health;columbia university;world health organization;university of richmond,466ED8849B5B94D4030222DE19163822,https://weisradio.com/wp-content/uploads/2023/07/GettyImages_RomeHeat_071923.jpg
51,https://www.washingtonpost.com/wellness/2023/07/19/florida-disabled-kids-institutions-judge-ruling/,Florida kept disabled kids in institutions. A judge is sending them home.,ehlenbach;kristen clarke;sydney walsh;donald m middlebrooks;kidz korner;heather patten;jeffery herrion;dorothy newton;dorothy newtown;amanda morris;allan greissman;shira wakschlag|university of wisconsin;department of justice;washington post;u s department of justice;pediatric complex care program;florida agency for health care administration;florida department of health;united states district court;civil rights division,47CBF6E405309F99E62BF01A59D0BA98,https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/EK7H5557S2GXDKWR4G3L42H6WI.JPG
52,https://www.thenewsminute.com/article/politician-who-helped-sans-questions-crowds-bid-adieu-oommen-chandy-179961,Oommen Chandy: A politician who helped sans questions,chandy;susheela velayudhan;albin thomas;oomen chandy|member of legislative assembly;kozhikode medical college,62E625B047FE09A8000B750E93F65084,https://www.thenewsminute.com/sites/default/files/Oommen_Chandy_Facebook_190723_1200-compressed.jpg
53,https://b105country.com/minnesota-bureau-of-criminal-apprehension-scam/,Minnesota Bureau of Criminal Apprehension Warns Of New Phone Scam,bureau of criminal apprehension;northland that have great customer service;facebook,DAF7A430B46E8E81CB04BD71BB71094A,https://townsquare.media/site/150/files/2023/07/attachment-RS20493_GettyImages-949457754-scr.jpg?&zc=1&s=0&a=t&q=89
54,https://wjbq.com/watch-maine-native-pick-up-a-cute-girl-through-the-window-of-a-boston-bar/,Watch Maine Native Pick Up a Cute Girl at a Boston Bar,kohl valle|uhaul,B8FF3EF510AC8FDF9FC21506E77A1729,https://townsquare.media/site/695/files/2023/07/attachment-Kohl-Valle.jpg?&zc=1&s=0&a=t&q=89
55,https://www.mapleridgenews.com/news/multiple-public-art-pieces-vandalized-in-creston-3-masked-suspects-at-large/,Multiple public art pieces vandalized in Creston; 3 masked suspects at large,jim unger|facebook,620945813752CD864A75FFFE6E97D9B5,https://www.mapleridgenews.com/wp-content/uploads/2023/07/33351565_web1_Creston-art-vandalized_1.jpeg
56,https://www.seaforthhuronexpositor.com:443/entertainment/macmaster-leahy-dazzle-west-perth-audience,"MacMaster, Leahy perform in Mitchell | Seaforth Huron Expositor",murray;donnell leahy;natalie macmaster|mitchell golf country club on aug;perth village senior community;mitchell community outreach,55DEB8998292F512133A491D690F5FD9,https://smartcdn.gprod.postmedia.digital/nexus/wp-content/uploads/2023/07/leahy_WPV.jpg
57,https://www.owensoundsuntimes.com:443/news/local-news/100-women-who-care-donate-over-20k-to-community-meals-program-2,100 Women Who Care donate over $20K to community meals program,community meals;chesley baptist church,6CD322686D0A5C5B2E89E99192192066,https://smartcdn.gprod.postmedia.digital/nexus/wp-content/uploads/2023/07/web100women-1.jpg
58,https://www.institutionalinvestor.com/article/2by3eo2f2bba0bgqdww74/portfolio/investors-have-incomplete-data-on-corporate-emissions-gmo-wants-to-change-that,Investors Have Incomplete Data on Corporate Emissions. GMO Wants to Change That.,state construction engineering corporation,803AE23D0D7C6258092DCBA4D1CB1D85,https://k2-prod-in-investor-prod.s3.amazonaws.com/brightspot/7a/06/c20e7a2546cb8e6dc82da38a1f17/art-gmocarbonemissions-0719.jpg
59,https://www.ludlowadvertiser.co.uk/news/national/23667386.sunak-braces-tories-tough-battle-thursdays-three-by-elections/,Sunak braces Tories for 'tough battle' in Thursday's three by-elections,gullis;boris johnson;nigel adam;david warburton;keir starmer|,CFF4A2D5C62146481880C1F6D912A164,https://www.ludlowadvertiser.co.uk/resources/images/16996886/?type=og-image
60,https://www.ludlowadvertiser.co.uk/news/national/23667424.former-green-co-leader-selected-fight-partys-seat-next-election/,Former Green co-leader selected to fight for party's seat at next election,lucas;jonathan bartley|brighton pavilion in parliament;camden borough council;london assembly,37DCBCAA7CF324ACE51ABFC20DA843CA,https://www.ludlowadvertiser.co.uk/resources/images/17020890/?type=og-image
61,https://kcby.com/news/nation-world/texas-woman-jailed-in-dubai-for-screaming-family-says-houston-katy-tx-united-arab-emirates-persian-gulf-middle-east-american-detained-overseas,American woman in Dubai charged with screaming in public,gambrell;burj khalifa;aya batrawy|national desk,7E81B0A17CDE295F0EBB5C604D301300,https://kcby.com/resources/media/3eed109c-f28a-47ff-86c6-06080824986c-large16x9_AP20097250765995.jpg
62,https://majic959.iheart.com/content/2023-07-19-britney-spears-william-release-teaser-for-upcoming-collab/,Britney Spears & Will.i.am Release Teaser For Upcoming Collab,britney spears|twitter,D46E812FA500D388D524F5553A2FAD4C,"https://i.iheart.com/v3/re/new_assets/64b7f33d3439252df6c43bf5?ops=gravity(%22north%22),fit(1200,675),quality(65)"
63,https://www.aol.com/news/green-groups-demand-us-end-173925091.html,Green groups demand US end talks on certified natural gas standards,granholm;brad crabtree;timothy gardner;joe biden|department of energy;gas coordinating council;reuters;u s energy;sierra club;natural resources defense council;united states,E2B510A31491CC4DF1F6FD31EB822B6C,https://media.zenfs.com/en/aol_reuters_29/7beb2b451eef34718e6bab060a038a53
64,https://www.pressdemocrat.com/article/news/little-relief-in-sight-from-onslaught-of-searing-heat-and-rising-floodwater/,Little relief in sight from onslaught of searing heat and rising floodwaters in parts of US,nino;jon hayden;christopher burt;andy beshear|weather company;university of maine climate reanalyzer;national weather service;united states,00B3D27C173205272331724BC339A22A,https://imengine.prod.srp.navigacloud.com?uuid=24f9dad4-1dda-53b1-9ba7-311396ae36d7&type=primary&q=72
65,https://kashmirreader.com/2023/07/20/from-brain-drain-to-drained-brain/,From 'Brain Drain' to 'Drained Brain' Ã¢â‚¬â€œ Kashmir Reader,writer association;medecins sans frontieres,91434C07A6A0507F612BCE07978ADAB4,https://i0.wp.com/kashmirreader.com/wp-content/uploads/2022/07/guest-writer.jpg?fit=640%2C360&ssl=1
66,https://www.healthcanal.com/nutrition/diet/is-vodka-gluten-free,Is Vodka Gluten Free: Gluten-Free Beverages For 2023,of gluten celiac disease foundation;celiac disease foundation;health canal;national celiac association,A0F06642876ACB6B09EF4321CB94B612,https://www.healthcanal.com/wp-content/uploads/2023/07/is-vodka-gluten-free-1.jpg
67,https://www.chathamdailynews.ca:443/news/local-news/brantford-nominated-for-award-related-to-filming-of-the-handmaids-tale,Brantford nominated for award related to filming of The Handmaid's Tale,film commission;location managers guild international,2FF98CA9129B37492B431F0083363942,https://smartcdn.gprod.postmedia.digital/nexus/wp-content/uploads/2023/07/br-0720-br-film.jpg
